timestamp,status,period,iteration,break-time-remaining,context
1714683784,stopped,nil,0,0,nil
1714683784,running,work,1,0,nil
1714685691,running,break,1,635,nil
1714686327,running,work,1,0,nil
1714688308,running,break,1,660,nil
1714688969,running,work,1,0,nil
1714689521,stopped,nil,0,0,nil
1715798039,running,work,1,0,nil
1715800840,running,break,1,933,nil
1715801774,running,work,1,0,nil
1715806490,stopped,nil,0,0,nil
1715812266,running,work,2,0,nil
1715815239,stopped,nil,0,0,nil
1715876627,running,work,3,0,nil
1715878260,running,break,3,544,nil
1715878805,running,work,3,0,nil
1715881617,running,break,3,937,nil
1715882555,running,work,3,0,nil
1715883007,running,break,3,150,nil
1715883158,running,work,3,0,nil
1715886321,stopped,nil,0,0,nil
1716404473,running,work,1,0,nil
1716407879,stopped,nil,0,0,nil
1718315233,running,work,1,0,nil
